title,url,type,tags,description,thumbnailUrl,energy,energy_related,tag
Imagery/usgsQuadOnly,https://maps1.larimer.org/arcgis/rest/services/Imagery/usgsQuadOnly/MapServer,Map Service,"Colorado,Larimer,EnergyAtlas,Imagery",No description,https://maps1.larimer.org/arcgis/rest/services/Imagery/usgsQuadOnly/MapServer/info/thumbnail,imagery,8,imagery
Internal_Maps/Oil_Gas_Wells,https://mcgis.mesacounty.us/arcgis/rest/services/Internal_Maps/Oil_Gas_Wells/MapServer,Map Service,"Colorado,Mesa,EnergyAtlas,Internal_Maps",Oil and Gas Wells,https://mcgis.mesacounty.us/arcgis/rest/services/Internal_Maps/Oil_Gas_Wells/MapServer/info/thumbnail,oil and gas,10,wells
Imagery/GeologicMap_100k_UteRes_1991,https://gis-server.co.montezuma.co.us/arcgis/rest/services/Imagery/GeologicMap_100k_UteRes_1991/MapServer,Map Service,"Colorado,Montezuma,EnergyAtlas,Imagery",No description,https://gis-server.co.montezuma.co.us/arcgis/rest/services/Imagery/GeologicMap_100k_UteRes_1991/MapServer/info/thumbnail,geology,8,imagery
Imagery/2003Steamboat,https://gis.co.routt.co.us/server/rest/services/Imagery/2003Steamboat/ImageServer,Image Service,"Colorado,Routt,EnergyAtlas,Imagery","<div style='text-align:Left;'><div><p><span>A mosaic dataset containing an orthophoto TIFF images of Steamboat Springs, CO.</span></p></div></div>",https://gis.co.routt.co.us/server/rest/services/Imagery/2003Steamboat/ImageServer/info/thumbnail,imagery,8,imagery
Imagery/2015OakCreek,https://gis.co.routt.co.us/server/rest/services/Imagery/2015OakCreek/ImageServer,Image Service,"Colorado,Routt,EnergyAtlas,Imagery","A mosaic dataset containing an orthophoto TIFF images of Oak Creek, CO in 2015",https://gis.co.routt.co.us/server/rest/services/Imagery/2015OakCreek/ImageServer/info/thumbnail,imagery,10,imagery
PublishedAssessmentInfo/Blocks,https://gis.co.routt.co.us/server/rest/services/PublishedAssessmentInfo/Blocks/MapServer,Map Service,"Colorado,Routt,EnergyAtlas,PublishedAssessmentInfo",No description,https://gis.co.routt.co.us/server/rest/services/PublishedAssessmentInfo/Blocks/MapServer/info/thumbnail,oil and gas,8,blocks
PublishedAssessmentInfo/Blocks,https://gis.co.routt.co.us/server/rest/services/PublishedAssessmentInfo/Blocks/FeatureServer,Feature Service,"Colorado,Routt,EnergyAtlas,PublishedAssessmentInfo",No description,https://gis.co.routt.co.us/server/rest/services/PublishedAssessmentInfo/Blocks/FeatureServer/info/thumbnail,oil and gas exploration,8,blocks
Imagery/MrSID_2015_Cache,https://gis.summitcountyco.gov/arcgis/rest/services/Imagery/MrSID_2015_Cache/MapServer,Map Service,"Colorado,Summit,EnergyAtlas,Imagery",No description,https://gis.summitcountyco.gov/arcgis/rest/services/Imagery/MrSID_2015_Cache/MapServer/info/thumbnail,imagery,8,imagery
Imagery/MrSID_2010_Cache,https://gis.summitcountyco.gov/arcgis/rest/services/Imagery/MrSID_2010_Cache/MapServer,Map Service,"Colorado,Summit,EnergyAtlas,Imagery",No description,https://gis.summitcountyco.gov/arcgis/rest/services/Imagery/MrSID_2010_Cache/MapServer/info/thumbnail,imagery,8,imagery
general/Contours,https://maps.bouldercolorado.gov/arcgis/rest/services/general/Contours/MapServer,Map Service,"Colorado,Boulder,EnergyAtlas,general",Contours 1ft NAVD88 collected in 2013,https://maps.bouldercolorado.gov/arcgis/rest/services/general/Contours/MapServer/info/thumbnail,topography,8,topography
