title,url,type,tags,description,thumbnailUrl,energy,energy_related,tag
eerma/WindMap,https://my.usgs.gov/arcgis/rest/services/eerma/WindMap/MapServer,Map Service,"USGS - myUSGS,EnergyAtlas,eerma","Wind Resources, Transmission Lines, and Existing Wind Turbines",https://my.usgs.gov/arcgis/rest/services/eerma/WindMap/MapServer/info/thumbnail,wind energy,10,renewables
eerma/SolarFacilitiesAndPotential,https://my.usgs.gov/arcgis/rest/services/eerma/SolarFacilitiesAndPotential/MapServer,Map Service,"USGS - myUSGS,EnergyAtlas,eerma",Solar Energy Resources and Utility-Scale Solar Facilities in Colorado and New Mexico,https://my.usgs.gov/arcgis/rest/services/eerma/SolarFacilitiesAndPotential/MapServer/info/thumbnail,solar energy,10,renewables
eerma/OilGasMap,https://my.usgs.gov/arcgis/rest/services/eerma/OilGasMap/MapServer,Map Service,"USGS - myUSGS,EnergyAtlas,eerma",Colorado Oil and Natural Gas Wells,https://my.usgs.gov/arcgis/rest/services/eerma/OilGasMap/MapServer/info/thumbnail,oil and gas,10,basemaps
applications/noga_wells,https://certmapper.cr.usgs.gov/server/rest/services/applications/noga_wells/MapServer,Map Service,"USGS - Other ArcGIS servers,EnergyAtlas,applications",This map depicts a generalization of wells rendered by resource type. It is intended only to serve in a NOGA application hosted and maintained by the USGS Central Energy Resources Science Center. ,https://certmapper.cr.usgs.gov/server/rest/services/applications/noga_wells/MapServer/info/thumbnail,oil and gas,10,wells
applications/npra,https://certmapper.cr.usgs.gov/server/rest/services/applications/npra/MapServer,Map Service,"USGS - Other ArcGIS servers,EnergyAtlas,applications",This map is intended for the NPRA seismic data download site and doesn't have much utility outside that context.,https://certmapper.cr.usgs.gov/server/rest/services/applications/npra/MapServer/info/thumbnail,oil and gas exploration,8,licenses
applications/noga,https://certmapper.cr.usgs.gov/server/rest/services/applications/noga/MapServer,Map Service,"USGS - Other ArcGIS servers,EnergyAtlas,applications","This map service depicts assessment province boundaries with layers specific to the type of assessment including coal-bed gas, conventional and unconventional. It is not intended for general and use is intended to be used in a specific application only. ",https://certmapper.cr.usgs.gov/server/rest/services/applications/noga/MapServer/info/thumbnail,oil and gas,10,licenses
applications/noga95,https://certmapper.cr.usgs.gov/server/rest/services/applications/noga95/MapServer,Map Service,"USGS - Other ArcGIS servers,EnergyAtlas,applications",Serving USGS Central Energy Resources Science Center application for the delivery of the 1995 National Oil and Gas Assessment products. ,https://certmapper.cr.usgs.gov/server/rest/services/applications/noga95/MapServer/info/thumbnail,oil and gas,10,licenses
geology/arabian,https://certmapper.cr.usgs.gov/server/rest/services/geology/arabian/MapServer,Map Service,"USGS - Other ArcGIS servers,EnergyAtlas,geology","This digital map compilation, which includes geology, geologic provinces, and oil and gas fields of the Arabian Peninsula, is part of a map series of the world produced by the U.S. Geological Survey World Energy Project. The goal of the project is to produce a worldwide assessment of the undiscovered, technically recoverable oil and gas resources and report these results by the year 2000. To assess the world's petroleum, a sequence of steps is being undertaken proceeding from defining geologic provinces of the world at a comparable scale, allocating oil and gas fields to these provinces, defining petroleum systems within these provinces, and ultimately assessing the undiscovered petroleum potential of selected provinces of the world. A more in-depth discussion of the geologic provinces and their relative ranking in terms of total known petroleum volume is given in USGS Open File Report 97-463 (see Klett and others, 1997). For the World Energy assessment, the world was divided into eight energy regions which correspond approximately with the economic regions of the world as defined by the U.S. Department of State. The Arabian Peninsula portion of Region 2 is represented on this CD-ROM (see insert Reference Map on geologic map). The geology map of the Arabian Peninsula was compiled and synthesized primarily from the U.S. Geological Survey-- Arabian American Oil Company, 1963, 1:2,000,000 scale Geologic map of the Arabian Peninsula. Additional geology in the northern portion of this map for parts of Iraq, Jordan, Syria, Israel, and Lebanon was derived with permission from the 1:5,000,000 scale, 1971 version of the Geologic Map of Europe, Eastern sheet, published by UNESCO (see Selected References no.4). Specific details of the data sources are given in the metadata file on this CD-ROM. Map units were combined to simplify the map when projected at a larger scale and to maintain consistency with other region maps. Precambrian rocks are undivided and consist of sedimentary, metamorphic, and igneous types. The boundary for Region 2 (Middle East/North Africa) is shown as an inset on the map. Oil and gas field markers represent field centerpoints published with permission from Petroconsultants International Data Corp., 1996 database. Each region was divided into geologic provinces. Geologic province boundaries for the Arabian Peninsula were delineated onshore using data from the U.S. Geological Survey--Arabian American Oil Company, and UNESCO geologic maps (see Selected References), and other tectonic and geographical data from the publications listed in the Selected References section. Offshore geologic province boundaries are defined by the 2000 meter bathymetric contour from the U.S. Geologic Survey--Arabian American Oil Company 1963 geologic map (see Selected References). Provinces may contain one dominant element or a number of contiguous elements or basins that are genetically related. Each geologic province was assigned a unique number; the first digit is the region number. An attempt was made to number the provinces in geographical order. In the Arabian Peninsula the numbering starts in the southernmost portion of the peninsula, generally increasing to the east and north. This map was compiled and displayed using Environmental Systems Research Institute, Inc. (ESRI) Arc/Info, ARCVIEW, and ArcPlot softwares. Political boundaries and their cartographic representation on this map were taken with permission from ESRI's ArcWorld 1:3,000,000 Arc/Info digital coverage, have no political significance, and are displayed as general reference only. Refer to the ESRI licensing agreement in the ESRI license folder on the CD-ROM.<BR>",https://certmapper.cr.usgs.gov/server/rest/services/geology/arabian/MapServer/info/thumbnail,geology,8,geology
geology/arctic,https://certmapper.cr.usgs.gov/server/rest/services/geology/arctic/MapServer,Map Service,"USGS - Other ArcGIS servers,EnergyAtlas,geology","The digitally compiled map includes geology, oil and gas field centerpoints, and geologic provinces of the Arctic (North Pole area encircled by 640 N Latitude). The GIS data sets were designed originally in ESRI's ARC/INFO ver. 8.0.1 and were published as part of a series of interim CD-ROM products of the U.S. Geological Survey's World Energy Project (WEP). The goal of the WEP is to assess the undiscovered, technically recoverable oil and gas resources of the world. Results of this assessment were reported in the year 2000 (see USGS DDS-60; http://pubs.usgs.gov/dds/dds-060/).",https://certmapper.cr.usgs.gov/server/rest/services/geology/arctic/MapServer/info/thumbnail,geology in the Arctic region,8,geology
geology/asiapacific,https://certmapper.cr.usgs.gov/server/rest/services/geology/asiapacific/MapServer,Map Service,"USGS - Other ArcGIS servers,EnergyAtlas,geology","This map service includes geology, major faults, geologic provinces, and political boundaries in the Asia Pacific Region. This compilation is part of an interim product of the U.S. Geological Survey's World Energy Project (WEP) and part of a series on CD-ROM.Although a geologic map displays the geographic distribution of the different geologic units and rock types for numerous purposes, this data set was compiled primarily for the World Energy Project as part of a required strategic base for assessing the petroleum potential of this region. For this purpose, the map provides an outline of the general geographic distribution of both known or hypothetical petroleum-potential formations and units, that is, sedimentary rocks and basins, and areas containing igneous and metamorphic rocks which have virtually little or no potential. The map was also compiled, in part, to provide a basis for outlining the geographic and petroleum provinces. This basic geologic data set, combined with numerous others, such as tectonic and burial histories, distribution of known oil and gas fields, distribution and quality of reservoir rocks, organic geochemistry, etc., will ultimately difine the basis for the assessment of undiscovered oil and gas in the Asia Pacific Region.",https://certmapper.cr.usgs.gov/server/rest/services/geology/asiapacific/MapServer/info/thumbnail,geology,10,geology
geology/africa,https://certmapper.cr.usgs.gov/server/rest/services/geology/africa/MapServer,Map Service,"USGS - Other ArcGIS servers,EnergyAtlas,geology","The CD-ROM was compiled according to the methodology developed by the U.S. Geological Survey's World Energy Project . The goal of the project was to assess the undiscovered, technically recoverable oil and gas resources of the world and report these results by the year 2000. A worldwide series of geologic maps, published on CD-ROMs, was released by the U.S. Geological Survey's World Energy Project during 1997 - 2000. Specific details of the data sources and map compilation are given in the metadata files on this CD-ROM. These maps were compiled using Environmental Systems Research Institute Inc. (ESRI) ARC/INFO software. Political boundaries and cartographic representations on this map are shown (with permission) from ESRI's ArcWorld 1:3M digital coverage: they have no political significance and are displayed as general reference only. Portions of this database covering the coastline and country boundaries contain proprietary property of ESRI. (© 1992 and 1996, Environmental Systems Research Institute Inc. All rights reserved.)",https://certmapper.cr.usgs.gov/server/rest/services/geology/africa/MapServer/info/thumbnail,geology,10,geology
geology/bangladesh,https://certmapper.cr.usgs.gov/server/rest/services/geology/bangladesh/MapServer,Map Service,"USGS - Other ArcGIS servers,EnergyAtlas,geology","The data set for these maps includes arcs, polygons, and labels that outline and describe the general geologic age and geophysical fields of Bangladesh. Political boundaries are provided to show the general location of administrative regions and state boundaries. Major base topographic data like cities, rivers, etc. were derived from the same paper map source as the geology. The data provide government, the geologic community, consultants, and the general public with an important geological base for small scale natural resource surveys, exploration and analysis. The maps on this CD-ROM have been compiled from: <BR>1. Md. Khurshid Alam, A.K.M.Shahidul Hasan, and Mujibur Rahman Khan (Geological Survey of Bangladesh), and John W. Whitney (United States Geological Survey), 1990, Geological Map of Bangladesh: Geological Survey of Bangladesh Publication, scale 1:1,000,000. <BR>2. M.A. Rahman, (Geological Survey of Bangladesh), M.A. Mannan, (Bangladesh Petroleum Exploration Company), H. R. Blank, M.D. Kleinkopf, and R. P. Kucks, (United States Geological Survey), 1990, Bouguer Gravity Anomaly Map of Bangladesh: Geological Survey of Bangladesh Publication,, scale 1:1,000,000. <BR>3. M.A. Rahman, (Geological Survey of Bangladesh), H. R. Blank, M.D. Kleinkopf, and R. P.Kucks, (United States Geological Survey), 1990, Aeromagnetic Anomaly Map of Bangladesh: Geological Survey of Bangladesh Publication,, scale 1:1,000,000.",https://certmapper.cr.usgs.gov/server/rest/services/geology/bangladesh/MapServer/info/thumbnail,geology,10,geology
geology/caribbean,https://certmapper.cr.usgs.gov/server/rest/services/geology/caribbean/MapServer,Map Service,"USGS - Other ArcGIS servers,EnergyAtlas,geology","This map was created as part of a worldwide series of geologic maps for the U.S. Geological Survey's World Energy Project. These products are available on CD-ROM and through the Internet. The goal of the project is to assess the undiscovered, technically recoverable oil and gas resources of the world. Most of the source data for this map compilation were digitized from the Geologic-Tectonic Map of the Caribbean Region by J.E. Case and T.L. Holcombe, at a scale of 1:2,500,000. For data management purposes, the world was divided into eight energy regions based on political boundaries and corresponding approximately to the economic regions of the world as defined by the U.S. Department of State. Region Six encompasses the Caribbean area, Central America, and South America. Other products are also available related to Region Six, including the Geologic Map of South America (USGS Open File Report 97-470-D). Countries listed below are shown whole or in part within the map extent of the Caribbean region: Anguilla Antigua and Barbuda Aruba Bahamas Barbados Belize British Virgin Islands Cayman Islands Colombia Costa Rica Cuba Dominica Dominican Republic El Salvador Grenada Guadeloupe Guatemala Guyana Haiti Honduras Jamaica Martinique Mexico Montserrat Netherlands Antilles Nicaragua Panama Puerto Rico St. Kitts and Nevis St. Lucia St. Vincent and the Grenadines Trinidad and Tobago Turks and Caicos Islands United States Venezuela Virgin Islands The world was previously divided into geologic provinces for the World Energy Project, of which a subset is shown on the map. Each province has a set of geologic characteristics that distinguish it from surrounding provinces. These characteristics may include dominant lithologies, the age of the strata, and/or structural type. Each province is assigned a unique number and may fall within two or more countries or assessment regions. The World Geographic Coordinate System of 1984 was used for data storage and map display. Other details about the map compilation and data sources are provided in several metadata formats in the data section on this CD-ROM. Various software packages were used to create this map including: Environmental Systems Research Institute, Inc. (ESRI) ArcGIS 8.3, ArcInfo software, Adobe Photoshop CS, Illustrator CS, and Acrobat 6.0.<BR>",https://certmapper.cr.usgs.gov/server/rest/services/geology/caribbean/MapServer/info/thumbnail,geology,10,geology
