title,url,type,tags,description,thumbnailUrl,energy,energy_related,tag
BioGas/CNG_EV,https://www.usda.gov/giseas1/rest/services/BioGas/CNG_EV/MapServer,Map Service,"USDA - Enterprise Application Services,EnergyAtlas,BioGas",Natural Gas Fueling Stations: This layer consists of Compressed Natural Gas fuel stations across the United States. (U.S. Department of Energy Alternative Fuels Data Center)<BR>Electric Vehicle Charging Stations: This layer consists of Electric Vehicle charging stations across the United States. (U.S. Department of Energy Alternative Fuels Data Center),https://www.usda.gov/giseas1/rest/services/BioGas/CNG_EV/MapServer/info/thumbnail,Biogas and Compressed Natural Gas (CNG) for electric vehicles,9,gas
EnergyInvestments/EnergyInvestments_EnergyEfficiency,https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_EnergyEfficiency/MapServer,Map Service,"USDA - Enterprise Application Services,EnergyAtlas,EnergyInvestments","The USDA Energy Investments contains information regarding USDA programs that provide assistance to renewable energy and energy efficiency projects. The map displays investment location, type of energy investment, amount of assistance provided and the administering USDA program.",https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_EnergyEfficiency/MapServer/info/thumbnail,Energy Efficiency,10,infrastructure
EnergyInvestments/EnergyInvestments_Anaerobic,https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_Anaerobic/MapServer,Map Service,"USDA - Enterprise Application Services,EnergyAtlas,EnergyInvestments","The USDA Energy Investments contains information regarding USDA programs that provide assistance to renewable energy and energy efficiency projects. The map displays investment location, type of energy investment, amount of assistance provided and the administering USDA program.",https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_Anaerobic/MapServer/info/thumbnail,renewables,8,renewables
EnergyInvestments/EnergyInvestments_Hydroelectric,https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_Hydroelectric/MapServer,Map Service,"USDA - Enterprise Application Services,EnergyAtlas,EnergyInvestments","The USDA Energy Investments contains information regarding USDA programs that provide assistance to renewable energy and energy efficiency projects. The map displays investment location, type of energy investment, amount of assistance provided and the administering USDA program.",https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_Hydroelectric/MapServer/info/thumbnail,hydroelectric energy,10,renewables
EnergyInvestments/EnergyInvestments_Biomass,https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_Biomass/MapServer,Map Service,"USDA - Enterprise Application Services,EnergyAtlas,EnergyInvestments","The USDA Energy Investments contains information regarding USDA programs that provide assistance to renewable energy and energy efficiency projects. The map displays investment location, type of energy investment, amount of assistance provided and the administering USDA program.",https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_Biomass/MapServer/info/thumbnail,biomass,10,renewables
EnergyInvestments/EnergyInvestments_Geothermal,https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_Geothermal/MapServer,Map Service,"USDA - Enterprise Application Services,EnergyAtlas,EnergyInvestments","The USDA Energy Investments contains information regarding USDA programs that provide assistance to renewable energy and energy efficiency projects. The map displays investment location, type of energy investment, amount of assistance provided and the administering USDA program.",https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_Geothermal/MapServer/info/thumbnail,geothermal energy,10,renewables
EnergyInvestments/EnergyInvestments_Hydrogen,https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_Hydrogen/MapServer,Map Service,"USDA - Enterprise Application Services,EnergyAtlas,EnergyInvestments","The USDA Energy Investments contains information regarding USDA programs that provide assistance to renewable energy and energy efficiency projects. The map displays investment location, type of energy investment, amount of assistance provided and the administering USDA program.",https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_Hydrogen/MapServer/info/thumbnail,hydrogen,10,renewables
EnergyInvestments/EnergyInvestments_Solar,https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_Solar/MapServer,Map Service,"USDA - Enterprise Application Services,EnergyAtlas,EnergyInvestments","The USDA Energy Investments contains information regarding USDA programs that provide assistance to renewable energy and energy efficiency projects. The map displays investment location, type of energy investment, amount of assistance provided and the administering USDA program.",https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_Solar/MapServer/info/thumbnail,solar energy,10,renewables
EnergyInvestments/EnergyInvestments_Wind,https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_Wind/MapServer,Map Service,"USDA - Enterprise Application Services,EnergyAtlas,EnergyInvestments","The USDA Energy Investments contains information regarding USDA programs that provide assistance to renewable energy and energy efficiency projects. The map displays investment location, type of energy investment, amount of assistance provided and the administering USDA program.",https://www.usda.gov/giseas1/rest/services/EnergyInvestments/EnergyInvestments_Wind/MapServer/info/thumbnail,wind energy,10,renewables
r06/r06_WindEnergy_01,https://apps.fs.usda.gov/fsgisx02/rest/services/r06/r06_WindEnergy_01/MapServer,Map Service,"USDA - Forest Service - Various links,EnergyAtlas,r06",Riparian Reserve and AMA/LSR for Region 6 specifically for the Wind Energy project,https://apps.fs.usda.gov/fsgisx02/rest/services/r06/r06_WindEnergy_01/MapServer/info/thumbnail,wind energy,10,renewables
