title,url,type,tags,description,thumbnailUrl,energy,energy_related,tag
DOT/Weather_Stations_WinterOp,https://gis.in.gov/arcgis/rest/services/DOT/Weather_Stations_WinterOp/MapServer,Map Service,"Indiana,Indiana various layers,EnergyAtlas,DOT",RWIS Weather Station Map,https://gis.in.gov/arcgis/rest/services/DOT/Weather_Stations_WinterOp/MapServer/info/thumbnail,weather,8,weather
DNR/ElevationContours_IN,https://gis.in.gov/ArcGIS/rest/services/DNR/ElevationContours_IN/MapServer,Map Service,"Indiana,Indiana various layers,EnergyAtlas,DNR","USGS elevation 10-foot contour lines for Indiana, symbolized (color) based upon elevation. Displays at scales of 1:150,000 or larger. <BR><BR>From the source data metadata: These vector contour lines are derived from the 3D Elevation Program using automated and semi-automated processes. They were created to support 1:24,000-scale CONUS and Hawaii, 1:25,000-scale Alaska, and 1:20,000-scale Puerto Rico / US Virgin Island topographic map products, but are also published in this GIS vector format. Contour intervals are assigned by 7.5-minute quadrangle, so this vector dataset is not visually seamless across quadrangle boundaries. ",https://gis.in.gov/ArcGIS/rest/services/DNR/ElevationContours_IN/MapServer/info/thumbnail,topography,8,topography
DNR/LakeBathymetry,https://gis.in.gov/ArcGIS/rest/services/DNR/LakeBathymetry/MapServer,Map Service,"Indiana,Indiana various layers,EnergyAtlas,DNR",IN DNR Lake Bathymetry,https://gis.in.gov/ArcGIS/rest/services/DNR/LakeBathymetry/MapServer/info/thumbnail,bathymetry,8,bathymetry
DNR/OilGasWells_DNR_DOG_IN,https://gis.in.gov/ArcGIS/rest/services/DNR/OilGasWells_DNR_DOG_IN/MapServer,Map Service,"Indiana,Indiana various layers,EnergyAtlas,DNR","This map depicts the location of oil and gas wells in Indiana based upon data contained in the DOGPAWS database of the Indiana Division of Oil and Gas. Location and other oil and gas well data is believed to be reasonably accurate. However, a degree of error is inherent in all maps and databases. This product is distributed ""as-is"" without warranties of any kind, either expressed or implied. The map is intended for use only at the published scale. It is not recommended that these data be used for purposes other than identifying the general location and other data with respect to oil and gas wells in Indiana. Users should confirm the accuracy of information on this map by reviewing the actual well records on file with the Division of Oil and Gas. Well location and other information depicted on this map will be periodically updated by the Division of Oil and Gas. Certain well records have been scanned by the Division of Oil and Gas and may be researched and viewed at http://www.in.gov/dnr/dnroil/5447.htm.",https://gis.in.gov/ArcGIS/rest/services/DNR/OilGasWells_DNR_DOG_IN/MapServer/info/thumbnail,oil and gas,10,wells
DNR/Water_Wells_DNR_Water_IN,https://gis.in.gov/ArcGIS/rest/services/DNR/Water_Wells_DNR_Water_IN/MapServer,Map Service,"Indiana,Indiana various layers,EnergyAtlas,DNR","Located water well records (which include UTM coordinates) and estimated locations for unlocated water well records (without UTM coordinates as of May 2016). The estimated locations used for the unlocated wells were based on the polygon centroid values for the smallest indicated section, quarter, quarter-quarter, or quarter-quarter-quarter section (as indicated in the database) for over 250,000 water well records and for about 26,000 of the 250,000 water well records the UTM's were obtained from address geocoding using the owners address, a generally more accurate method (see process steps below). Bedrock and unconsolidated wells are differentiated by symbology.<BR><BR>This item, including its underlying data, is distributed “AS-IS” without warranties of any kind, either expressed or implied, including but not limited to warranties of suitability of a particular purpose or use. The data are graphical representations and are for reference purposes only. They are not to be construed as a legal document or survey instrument. The Indiana Department of Natural Resources assumes no liability. A detailed on-the-ground survey and historical analysis of individual features may differ from these data. ",https://gis.in.gov/ArcGIS/rest/services/DNR/Water_Wells_DNR_Water_IN/MapServer/info/thumbnail,water wells,8,wells
DNR/Water_Wells_Lithology1_DNR_Water_IN,https://gis.in.gov/ArcGIS/rest/services/DNR/Water_Wells_Lithology1_DNR_Water_IN/MapServer,Map Service,"Indiana,Indiana various layers,EnergyAtlas,DNR","Located water well records (which include UTM coordinates) and estimated locations for unlocated water well records (without UTM coordinates as of June 2021). The estimated locations used for the unlocated wells were based on the polygon centroid values for the smallest indicated section, quarter, quarter-quarter, or quarter-quarter-quarter section (as indicated in the database) for over 250,000 water well records and for about 26,000 of the 250,000 water well records the UTM's were obtained from address geocoding using the owners address, a generally more accurate method (see process steps below). Bedrock and unconsolidated wells are differentiated by symbology.<BR><BR>This item, including its underlying data, is distributed “AS-IS” without warranties of any kind, either expressed or implied, including but not limited to warranties of suitability of a particular purpose or use. The data are graphical representations and are for reference purposes only. They are not to be construed as a legal document or survey instrument. The Indiana Department of Natural Resources assumes no liability. A detailed on-the-ground survey and historical analysis of individual features may differ from these data. ",https://gis.in.gov/ArcGIS/rest/services/DNR/Water_Wells_Lithology1_DNR_Water_IN/MapServer/info/thumbnail,water wells,8,wells
DOT/Weather_Stations_WinterOp,https://gis.in.gov/ArcGIS/rest/services/DOT/Weather_Stations_WinterOp/MapServer,Map Service,"Indiana,Indiana various layers,EnergyAtlas,DOT",RWIS Weather Station Map,https://gis.in.gov/ArcGIS/rest/services/DOT/Weather_Stations_WinterOp/MapServer/info/thumbnail,weather,8,weather
Imagery/2005_CIR,https://imagery.gis.in.gov/arcgis/rest/services/Imagery/2005_CIR/ImageServer,Image Service,"Indiana,Indiana various layers,EnergyAtlas,Imagery",State of Indiana Ortho IR Imagery from 2005,https://imagery.gis.in.gov/arcgis/rest/services/Imagery/2005_CIR/ImageServer/info/thumbnail,imagery,8,imagery
Imagery/1998_DOQQ,https://imagery.gis.in.gov/arcgis/rest/services/Imagery/1998_DOQQ/ImageServer,Image Service,"Indiana,Indiana various layers,EnergyAtlas,Imagery",State of Indiana Ortho Imagery 1998 DOQQ,https://imagery.gis.in.gov/arcgis/rest/services/Imagery/1998_DOQQ/ImageServer/info/thumbnail,imagery,10,imagery
Imagery/2011_2013_Imagery,https://imagery.gis.in.gov/arcgis/rest/services/Imagery/2011_2013_Imagery/ImageServer,Image Service,"Indiana,Indiana various layers,EnergyAtlas,Imagery",State of Indiana Orthophotography 2011 through 2013,https://imagery.gis.in.gov/arcgis/rest/services/Imagery/2011_2013_Imagery/ImageServer/info/thumbnail,imagery,10,imagery
